"","Player","Rk","Pk","Tm","College","Yrs","G","MP","PTS","TRB","AST","FG_percent","X3P_percent","FT_percent","MP_PG","PTS_PG","TRB_PG","AST_PG","WS","WS_48","BPM","VORP","Year","Rank","COL_G_PG","COL_GS_PG","COL_MP_PG","COL_FG_PG","COL_FGA_PG","COL_FG%_PG","COL_2P_PG","COL_2PA_PG","COL_2P%_PG","COL_3P_PG","COL_3PA_PG","COL_3P%_PG","COL_FT_PG","COL_FTA_PG","COL_FT%_PG","COL_ORB_PG","COL_DRB_PG","COL_TRB_PG","COL_AST_PG","COL_STL_PG","COL_BLK_PG","COL_TOV_PG","COL_PF_PG","COL_PTS_PG","COL_SOS_PG","COL_Years"
"54","Trae Young",5,"5","DAL","Oklahoma","6","407","13883","10379","1451","3868",".436",".355",".873","34.1","25.5","3.6","9.5","37.6",".130","3.0","17.5",2018,4,32,32,35.4,8.2,19.3,0.422,4.5,9.1,0.493,3.7,10.3,0.36,7.4,8.6,0.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,10.56,1
"55","Mo Bamba",6,"6","ORL","Texas","6","332","5702","2323","1835","288",".478",".361",".681","17.2","7.0","5.5","0.9","14.6",".123","0.1","3.0",2018,5,30,29,30.2,4.9,9,0.541,4.4,7.3,0.603,0.5,1.7,0.275,2.7,4,0.681,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5,12.9,10.67,1
"56","Wendell Carter Jr.",7,"7","CHI","Duke","6","315","8689","3947","2681","631",".517",".334",".727","27.6","12.5","8.5","2.0","22.5",".124","-0.1","4.2",2018,6,37,37,26.9,4.8,8.6,0.561,4.3,7.4,0.586,0.5,1.2,0.413,3.4,4.5,0.738,2.9,6.1,9.1,2,0.8,2.1,2,2.8,13.5,9.7,1
"57","Collin Sexton",8,"8","CLE","Alabama","6","344","10399","6499","973","1241",".469",".383",".834","30.2","18.9","2.8","3.6","13.4",".062","-1.5","1.3",2018,7,33,32,29.9,5.9,13.3,0.447,4.6,9.3,0.495,1.3,4,0.336,5.9,7.6,0.778,1,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,10.64,1
"58","Kevin Knox",9,"9","NYK","Kentucky","6","306","5522","2276","876","228",".392",".341",".723","18.0","7.4","2.9","0.7","0.7",".006","-4.5","-3.5",2018,8,37,37,32.4,5.3,11.9,0.445,3.8,7.4,0.509,1.5,4.5,0.341,3.4,4.4,0.774,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6,10.73,1
"59","Mikal Bridges",10,"10","PHI","Villanova","6","474","15478","6760","1948","1211",".480",".375",".846","32.7","14.3","4.1","2.6","36.3",".113","0.9","11.4",2018,9,116,73,27.3,3.9,7.5,0.525,2.5,3.8,0.645,1.5,3.7,0.4,1.9,2.3,0.845,1.1,3.2,4.3,1.6,1.4,0.9,1.1,2.2,11.3,9.74,3
"60","Shai Gilgeous-Alexander",11,"11","CHO","Kentucky","6","386","12693","8810","1832","1876",".496",".349",".852","32.9","22.8","4.7","4.9","43.6",".165","4.3","20.2",2018,10,37,24,33.7,4.9,10.2,0.485,4.3,8.6,0.5,0.6,1.5,0.404,3.9,4.7,0.817,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,10.73,1
"61","Zion Williamson",1,"1","NOP","Duke","4","184","5857","4542","1199","761",".592",".341",".695","31.8","24.7","6.5","4.1","21.7",".178","4.6","9.8",2019,1,33,33,30,9,13.2,0.68,8.2,11,0.747,0.7,2.2,0.338,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,11.98,1
"62","Ja Morant",2,"2","MEM","Murray State","5","257","8282","5783","1243","1903",".472",".318",".755","32.2","22.5","4.8","7.4","20.5",".119","2.8","10.1",2019,2,65,65,35.3,6.1,12.6,0.485,4.8,8.9,0.545,1.3,3.8,0.343,5.1,6.3,0.81,1.5,4.6,6.1,8.2,1.4,0.6,3.8,1.7,18.7,-3.32,2
"63","RJ Barrett",3,"3","NYK","Duke","5","329","10945","6070","1784","962",".435",".346",".710","33.3","18.4","5.4","2.9","10.9",".048","-2.1","-0.4",2019,3,38,38,35.3,8.4,18.5,0.454,6.5,12.2,0.529,1.9,6.2,0.308,3.9,5.9,0.665,1.6,6,7.6,4.3,0.9,0.4,3.2,1.8,22.6,11.98,1
"64","De'Andre Hunter",4,"4","LAL","Virginia","5","263","8080","3751","1078","405",".447",".363",".811","30.7","14.3","4.1","1.5","7.6",".045","-3.2","-2.5",2019,4,71,38,26.6,4.4,8.5,0.509,3.4,6.3,0.541,0.9,2.3,0.419,2.8,3.6,0.773,1.3,3.1,4.4,1.6,0.6,0.5,1.2,1.9,12.4,9.6,2
"65","Darius Garland",5,"5","CLE","Vanderbilt","5","307","10392","5660","801","2052",".448",".384",".864","33.9","18.4","2.6","6.7","16.5",".076","-0.3","4.3",2019,5,5,5,27.8,5.8,10.8,0.537,3.6,6.2,0.581,2.2,4.6,0.478,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,3,1.4,16.2,7.79,1
"66","Jarrett Culver",6,"6","PHO","Texas Tech","4","144","2480","934","402","173",".401",".276",".509","17.2","6.5","2.8","1.2","-0.1","-.001","-4.5","-1.6",2019,6,75,58,29.5,5.3,11.6,0.459,3.9,7.5,0.522,1.4,4.1,0.341,2.9,4.2,0.687,1.2,4.4,5.6,2.8,1.3,0.6,2.1,2,14.9,9.56,2
"67","Coby White",7,"7","CHI","UNC","5","348","10116","4896","1266","1288",".427",".369",".848","29.1","14.1","3.6","3.7","13.5",".064","-1.7","0.8",2019,7,35,35,28.5,5.4,12.7,0.423,3,6.1,0.5,2.3,6.6,0.353,3,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,11.35,1
"68","Jaxson Hayes",8,"8","ATL","Texas","5","311","4929","2111","1174","201",".636",".268",".707","15.8","6.8","3.8","0.6","16.4",".160","-0.4","2.0",2019,8,32,21,23.3,3.8,5.3,0.728,3.8,5.3,0.728,0,0,0,2.3,3.1,0.74,1.8,3.3,5,0.3,0.6,2.2,0.9,3.3,10,11.46,1
"69","Rui Hachimura",9,"9","WAS","Gonzaga","5","278","7476","3543","1343","356",".493",".371",".763","26.9","12.7","4.8","1.3","11.3",".072","-2.2","-0.4",2019,9,102,39,19.7,4.5,7.8,0.579,4.3,7.1,0.607,0.2,0.7,0.316,2.8,3.7,0.746,1.1,3.3,4.4,0.8,0.6,0.5,1.2,1.6,12.1,3.91,3
"70","Cam Reddish",10,"10","ATL","Duke","5","221","5287","2046","612","275",".398",".324",".833","23.9","9.3","2.8","1.2","2.6",".023","-3.2","-1.6",2019,10,36,35,29.7,4.3,12,0.356,1.8,4.6,0.394,2.5,7.4,0.333,2.4,3.2,0.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,11.98,1
"71","Anthony Edwards",1,"1","MIN","Georgia","4","302","10392","6920","1567","1241",".446",".353",".793","34.4","22.9","5.2","4.1","16.5",".076","0.9","7.7",2020,1,32,32,33,6.3,15.8,0.402,4.1,8.1,0.504,2.3,7.7,0.294,4.1,5.3,0.772,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1,8.06,1
"72","James Wiseman",2,"2","GSW","Memphis","3","147","2794","1344","829","110",".560",".267",".681","19.0","9.1","5.6","0.7","4.3",".073","-3.9","-1.4",2020,2,3,3,23,6.7,8.7,0.769,6.7,8.3,0.8,0,0.3,0,6.3,9,0.704,4.3,6.3,10.7,0.3,0.3,3,1,1.7,19.7,5.07,1
"73","Patrick Williams",4,"4","CHI","Florida State","4","213","5902","2070","889","280",".469",".410",".780","27.7","9.7","4.2","1.3","8.0",".065","-1.9","0.2",2020,3,29,0,22.5,3.3,7.1,0.459,2.7,5.4,0.503,0.6,1.7,0.32,2.1,2.6,0.838,1.3,2.7,4,1,1,1,1.7,1.6,9.2,7.64,1
"74","Isaac Okoro",5,"5","CLE","Auburn","4","279","7693","2371","800","468",".467",".347",".732","27.6","8.5","2.9","1.7","13.5",".084","-2.2","-0.4",2020,4,28,28,31.5,4.5,8.7,0.514,3.8,6.2,0.607,0.7,2.5,0.286,3.2,4.8,0.672,1.9,2.5,4.4,2,0.9,0.9,2,2.7,12.9,7.39,1
"75","Onyeka Okongwu",6,"6","ATL","USC","4","233","4847","1972","1398","226",".640",".318",".754","20.8","8.5","6.0","1.0","17.7",".175","0.2","2.7",2020,5,28,28,31.5,4.5,8.7,0.514,3.8,6.2,0.607,0.7,2.5,0.286,3.2,4.8,0.672,1.9,2.5,4.4,2,0.9,0.9,2,2.7,12.9,7.39,1
"76","Obi Toppin",8,"8","NYK","Dayton","4","283","4693","2241","913","300",".520",".351",".768","16.6","7.9","3.2","1.1","12.3",".126","0.9","3.4",2020,6,64,46,29,7,10.8,0.647,6.3,9.2,0.688,0.7,1.6,0.417,2.5,3.6,0.706,1.4,5.2,6.6,2,0.8,1,2,1.9,17.1,3.3,2
"77","Jalen Smith",10,"10","PHO","Maryland","4","207","3406","1766","1075","157",".517",".335",".740","16.5","8.5","5.2","0.8","9.1",".128","-0.4","1.3",2020,7,64,64,28.9,4.9,9.5,0.516,4.1,7,0.584,0.8,2.5,0.323,2.9,4.1,0.709,3,5.7,8.6,0.8,0.6,1.8,1.5,2.2,13.5,10.3,2
"78","Devin Vassell",11,"11","SAS","Florida State","4","239","6419","3239","889","605",".444",".369",".809","26.9","13.6","3.7","2.5","9.7",".072","-0.3","2.7",2020,8,63,30,19.3,3.1,6.6,0.475,2,3.9,0.514,1.1,2.7,0.417,1.1,1.5,0.72,0.8,2.4,3.2,1.1,1,0.6,0.6,1.4,8.4,8.95,2
"79","Tyrese Haliburton",12,"12","SAC","Iowa State","4","260","8547","4483","960","2274",".478",".393",".856","32.9","17.2","3.7","8.7","27.2",".153","4.5","14.0",2020,9,57,56,34.6,3.7,7.2,0.509,1.9,3.1,0.621,1.8,4.2,0.426,1,1.2,0.775,1,3.4,4.4,4.7,1.9,0.8,1.6,1.3,10.1,9.68,2
"80","Kira Lewis Jr.",13,"13","NOP","Alabama","4","131","1745","687","169","233",".397",".294",".848","13.3","5.2","1.3","1.8","1.3",".036","-3.5","-0.6",2020,10,65,65,34.5,5.6,12.5,0.447,3.9,7.8,0.498,1.7,4.7,0.362,3,3.8,0.793,0.6,3,3.6,4,1.3,0.4,2.8,2.2,15.9,8.56,2
"81","Cade Cunningham",1,"1","DET","Oklahoma State","3","138","4562","2758","696","892",".432",".329",".858","33.1","20.0","5.0","6.5","1.1",".012","-0.6","1.6",2021,1,27,26,35.4,6.5,14.8,0.438,4.2,9.1,0.461,2.3,5.7,0.4,4.9,5.8,0.846,0.7,5.5,6.2,3.5,1.6,0.8,4,2.5,20.1,9.78,1
"82","Evan Mobley",3,"3","CLE","USC","3","198","6578","3096","1749","558",".544",".265",".681","33.2","15.6","8.8","2.8","19.3",".141","1.6","5.9",2021,2,33,33,33.9,6,10.3,0.578,5.6,9.1,0.615,0.4,1.2,0.3,4.1,5.8,0.694,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,10.65,1
"83","Scottie Barnes",4,"4","TOR","Florida State","3","211","7389","3504","1563","990",".474",".311",".764","35.0","16.6","7.4","4.7","15.9",".103","1.5","6.5",2021,3,24,7,24.8,4.1,8.1,0.503,3.6,6.5,0.561,0.5,1.7,0.275,1.7,2.8,0.621,1.5,2.5,4,4.1,1.5,0.5,2.5,2.2,10.3,9.16,1
"84","Jalen Suggs",5,"5","ORL","Gonzaga","3","176","4578","2031","561","569",".422",".333",".753","26.0","11.5","3.2","3.2","4.5",".047","-1.4","0.7",2021,4,30,30,28.9,5.2,10.3,0.503,4,6.8,0.588,1.2,3.5,0.337,2.9,3.8,0.754,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6,14.4,5.92,1
"85","Franz Wagner",8,"8","ORL","Michigan","3","231","7375","4103","1066","783",".479",".332",".850","31.9","17.8","4.6","3.4","15.7",".103","0.1","3.9",2021,5,55,55,31.2,4.3,9.3,0.465,2.9,5,0.583,1.4,4.3,0.325,2,2.4,0.835,0.8,5.3,6.1,2,1.3,0.8,1.4,2.4,12,11.21,2
"86","Davion Mitchell",9,"9","SAC","Baylor","3","227","4624","1690","366","632",".434",".327",".703","20.4","7.4","1.6","2.8","3.0",".031","-3.4","-1.6",2021,6,60,60,32.7,4.4,9.4,0.465,2.8,5.3,0.519,1.6,4.1,0.394,1.6,2.4,0.653,0.4,2.3,2.7,4.7,1.7,0.4,2.3,2.6,12,7.94,2
"87","Ziaire Williams",10,"10","NOP","Stanford","3","150","2945","1131","388","175",".426",".301",".803","19.6","7.5","2.6","1.2","2.6",".042","-4.0","-1.5",2021,7,20,14,27.9,3.8,10.2,0.374,2.7,6.2,0.427,1.2,4,0.291,2,2.5,0.796,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,10.01,1
"88","James Bouknight",11,"11","CHO","UConn","3","79","900","383","133","73",".363",".335",".762","11.4","4.8","1.7","0.9","-0.3","-.017","-5.9","-0.9",2021,8,43,30,27.9,5.3,11.5,0.456,4.2,8.1,0.513,1.1,3.4,0.32,3.4,4.2,0.802,1.6,3.1,4.7,1.5,0.9,0.2,2.1,2.4,15,6.97,2
"89","Joshua Primo",12,"12","SAS","Alabama","3","56","1068","318","127","99",".371",".300",".750","19.1","5.7","2.3","1.8","-0.3","-.011","-5.3","-0.9",2021,9,30,19,22.5,2.8,6.5,0.431,1.4,2.7,0.5,1.4,3.8,0.381,1.1,1.5,0.75,1,2.3,3.4,0.8,0.6,0.3,1.4,1.7,8.1,10.01,1
"90","Chris Duarte",13,"13","IND","Oregon","3","160","3157","1312","447","222",".405",".347",".816","19.7","8.2","2.8","1.4","1.6",".024","-3.1","-0.9",2021,10,54,54,32,5.3,11.2,0.473,3.3,5.9,0.555,2,5.3,0.38,2.3,2.9,0.803,1.1,4,5.1,2.1,1.8,0.7,1.9,1.5,14.9,9.37,2
"91","Paolo Banchero",1,"1","ORL","Duke","2","152","5229","3241","1051","700",".442",".321",".731","34.4","21.3","6.9","4.6","7.6",".070","0.0","2.7",2022,1,39,39,33,6.3,13.2,0.478,5.2,9.8,0.525,1.1,3.3,0.338,3.5,4.8,0.729,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2,7.26,1
"92","Chet Holmgren",2,"2","OKC","Gonzaga","1","82","2413","1357","648","200",".530",".370",".793","29.4","16.5","7.9","2.4","8.9",".178","3.4","3.3",2022,2,32,31,26.9,5.3,8.8,0.607,4,5.5,0.737,1.3,3.3,0.39,2.2,3.1,0.717,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,4.5,1
"93","Jabari Smith Jr.",3,"3","HOU","Auburn","2","155","4875","2054","1185","222",".430",".335",".798","31.5","13.3","7.6","1.4","7.5",".074","-2.0","0.0",2022,3,34,34,28.8,5.4,12.6,0.429,3.1,7,0.435,2.3,5.5,0.42,3.9,4.8,0.799,0.9,6.5,7.4,2,1.1,1,1.9,2.1,16.9,8.17,1
"94","Keegan Murray",4,"4","SAC","Iowa","2","157","4970","2148","791","227",".454",".384",".805","31.7","13.7","5.0","1.4","9.5",".092","-0.7","1.6",2022,4,66,39,25.4,5.9,10.9,0.543,4.7,7.6,0.618,1.2,3.3,0.373,2.8,3.7,0.749,2.3,4.7,7,1,1.1,1.6,0.9,1.9,15.8,8.65,2
"95","Jaden Ivey",5,"5","DET","Purdue","2","151","4521","2389","552","683",".422",".339",".748","29.9","15.8","3.7","4.5","0.4",".004","-3.2","-1.4",2022,5,59,46,28.6,4.9,11.3,0.44,3.4,6.6,0.523,1.5,4.7,0.322,3.5,4.7,0.739,0.7,3.5,4.3,2.6,0.8,0.6,2.1,1.7,14.9,9.73,2
"96","Bennedict Mathurin",6,"6","IND","Arizona","2","137","3760","2158","552","235",".439",".344",".826","27.4","15.8","4.0","1.7","3.2",".041","-3.6","-1.5",2022,6,59,46,28.6,4.9,11.3,0.44,3.4,6.6,0.523,1.5,4.7,0.322,3.5,4.7,0.739,0.7,3.5,4.3,2.6,0.8,0.6,2.1,1.7,14.9,9.73,2
"97","Shaedon Sharpe",7,"7","POR","Kentucky","2","112","2838","1299","396","188",".445",".350",".772","25.3","11.6","3.5","1.7","1.7",".028","-3.1","-0.8",2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Jeremy Sochan",9,"9","SAS","Baylor","2","130","3651","1475","771","391",".444",".285",".738","28.1","11.3","5.9","3.0","1.5",".020","-3.6","-1.5",2022,8,30,1,25.1,3.3,7,0.474,2.5,4.3,0.585,0.8,2.7,0.296,1.8,3,0.589,2,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,8.76,1
"99","Johnny Davis",10,"10","WAS","Wisconsin","2","78","1036","315","137","60",".394",".282",".549","13.3","4.0","1.8","0.8","-0.4","-.019","-6.9","-1.3",2022,9,62,31,29.2,4.8,11.1,0.431,4,8.5,0.462,0.8,2.5,0.325,3,3.9,0.779,1.2,5,6.2,1.6,1.1,0.7,1.7,2.1,13.4,10.54,2
"100","Jalen Williams",12,"12","OKC","Santa Clara","2","146","4499","2411","619","570",".532",".395",".813","30.8","16.5","4.2","3.9","12.9",".138","1.3","3.8",2022,10,84,72,30.5,4.5,9.5,0.469,3.4,6.5,0.525,1.1,3,0.352,2.6,3.3,0.785,0.5,3.2,3.7,2.9,1.2,0.5,1.6,2.6,12.6,2.14,3
"101","Brandon Miller",2,"2","CHO","Alabama","1","74","2383","1279","315","175",".440",".373",".827","32.2","17.3","4.3","2.4","0.8",".015","-2.6","-0.3",2023,1,37,37,32.6,6,13.9,0.43,3.1,6.5,0.483,2.9,7.5,0.384,3.9,4.6,0.859,2.1,6.2,8.2,2.1,0.9,0.9,2.2,2.4,18.8,9.65,1
"102","Anthony Black",6,"6","ORL","Arkansas","1","69","1164","316","139","91",".466",".394",".613","16.9","4.6","2.0","1.3","1.6",".067","-3.0","-0.3",2023,2,36,36,34.9,4.1,9.1,0.453,3.4,6.6,0.513,0.8,2.6,0.301,3.7,5.3,0.705,1.3,3.8,5.1,3.9,2.1,0.6,3,2.6,12.8,9.87,1
"103","Jarace Walker",8,"8","WAS","Houston","1","33","340","120","63","40",".409",".400",".889","10.3","3.6","1.9","1.2","0.4",".058","0.2","0.2",2023,3,36,35,27.6,4.4,9.4,0.465,3.4,6.6,0.515,1,2.8,0.347,1.5,2.2,0.663,2.3,4.5,6.8,1.8,1,1.3,1.5,2.1,11.2,4.79,1
"104","Taylor Hendricks",9,"9","UTA","Central Florida","1","40","856","292","185","32",".450",".379",".793","21.4","7.3","4.6","0.8","1.2",".070","-1.6","0.1",2023,4,34,34,34.7,5.4,11.3,0.478,3.6,6.8,0.535,1.8,4.6,0.394,2.5,3.2,0.782,2.4,4.6,7,1.4,0.9,1.7,1.4,2,15.1,5.09,1
"105","Cason Wallace",10,"10","DAL","Kentucky","1","82","1692","561","187","120",".491",".419",".784","20.6","6.8","2.3","1.5","4.0",".115","0.1","0.9",2023,5,34,34,34.7,5.4,11.3,0.478,3.6,6.8,0.535,1.8,4.6,0.394,2.5,3.2,0.782,2.4,4.6,7,1.4,0.9,1.7,1.4,2,15.1,5.09,1
"106","Jett Howard",11,"11","ORL","Michigan","1","18","67","29","7","6",".333",".280",".500","3.7","1.6","0.4","0.3","0.0",".005","-1.8","0.0",2023,6,29,29,31.8,4.7,11.4,0.414,2,4.1,0.496,2.7,7.3,0.368,2.1,2.6,0.8,0.3,2.6,2.8,2,0.4,0.7,1.3,2.2,14.2,8.69,1
"107","Dereck Lively II",12,"12","OKC","Duke","1","55","1294","483","378","60",".747",".000",".506","23.5","8.8","6.9","1.1","4.9",".183","0.5","0.8",2023,7,34,27,20.6,2.3,3.4,0.658,2.2,3.1,0.721,0.1,0.4,0.154,0.6,1,0.6,2.1,3.3,5.4,1.1,0.5,2.4,0.7,2.7,5.2,7.44,1
"108","Gradey Dick",13,"13","TOR","Kansas","1","60","1268","510","132","68",".425",".365",".863","21.1","8.5","2.2","1.1","0.3",".010","-5.4","-1.1",2023,8,36,36,32.7,4.8,10.9,0.442,2.5,5.2,0.484,2.3,5.7,0.403,2.1,2.5,0.854,1.1,4,5.1,1.7,1.4,0.3,1.3,2.1,14.1,11.84,1
"109","Jordan Hawkins",14,"14","NOP","UConn","1","67","1160","524","148","70",".382",".366",".838","17.3","7.8","2.2","1.0","1.3",".053","-3.1","-0.3",2023,9,64,41,23.2,3.6,9.1,0.396,1.5,3.5,0.428,2.1,5.7,0.376,2.5,2.8,0.872,0.8,2.3,3,1,0.5,0.4,1.2,1.7,11.8,7.7,2
"110","Kobe Bufkin",15,"15","ATL","Michigan","1","17","196","81","33","27",".370",".225",".500","11.5","4.8","1.9","1.6","-0.1","-.031","-4.5","-0.1",2023,10,61,33,23.3,3.3,7.2,0.463,2.5,4.6,0.541,0.8,2.6,0.325,1.5,1.8,0.833,0.6,2.4,3,1.7,0.9,0.4,1.3,1.7,9,9.86,2
